model;topology;traffic pattern;size;network throughput
topaz;mesh;random;100;7.47000
topaz;mesh;bit-reversal;100;5.01000
topaz;mesh;perfect-suffle;100;7.35000
topaz;mesh;permutation;100;7.33000
topaz;mesh;tornado;100;7,32
topaz;torus;random;100;7.53000
topaz;torus;bit-reversal;100;5.03000
topaz;torus;perfect-suffle;100;7.38000
topaz;torus;permutation;100;7.43000
topaz;torus;tornado;100;7,33
topaz;mesh;random;81;6.74000
topaz;mesh;bit-reversal;81;3.46000
topaz;mesh;perfect-suffle;81;6.61000
topaz;mesh;permutation;81;6.49000
topaz;mesh;tornado;81;6,65
topaz;torus;random;81;6.78000
topaz;torus;bit-reversal;81;3.47000
topaz;torus;perfect-suffle;81;6.61000
topaz;torus;permutation;81;6.51000
topaz;torus;tornado;81;6,66
topaz;mesh;random;64;6.22000
gpnocsim;mesh;uniform;100;2.6600666666666670
gpnocsim;mesh;local;100;2,65
topaz;mesh;bit-reversal;64;5.37000
topaz;mesh;perfect-suffle;64;6.06000
topaz;mesh;permutation;64;5.49000
topaz;mesh;tornado;64;6,13
topaz;torus;random;64;6.23000
topaz;torus;bit-reversal;64;5.54000
topaz;torus;perfect-suffle;64;6.01000
topaz;torus;permutation;64;5.54000
topaz;torus;tornado;64;6,13
topaz;mesh;random;49;5.68000
topaz;mesh;bit-reversal;49;3.66000
topaz;mesh;perfect-suffle;49;5.49000
topaz;mesh;permutation;49;5.42000
topaz;mesh;tornado;49;5,65
topaz;torus;random;49;май.00
topaz;torus;bit-reversal;49;3.68000
topaz;torus;perfect-suffle;49;5.49000
topaz;torus;permutation;49;5.42000
topaz;torus;tornado;49;5,64
topaz;mesh;random;36;5.01000
topaz;mesh;bit-reversal;36;2.69000
topaz;mesh;perfect-suffle;36;4.81000
topaz;mesh;permutation;36;4.94000
topaz;mesh;tornado;36;5
topaz;torus;random;36;5.03000
topaz;torus;bit-reversal;36;2.47000
topaz;torus;perfect-suffle;36;4.73000
topaz;torus;permutation;36;4.88000
topaz;torus;tornado;36;5,02
topaz;mesh;random;25;4.18000
topaz;mesh;bit-reversal;25;2.44000
topaz;mesh;perfect-suffle;25;3.82000
topaz;mesh;permutation;25;мар.00
topaz;mesh;tornado;25;4,16
topaz;torus;random;25;4.19000
topaz;torus;bit-reversal;25;2.45000
topaz;torus;perfect-suffle;25;3.82000
topaz;torus;permutation;25;3.51000
topaz;torus;tornado;25;4,18
topaz;torus;random;16;3.460
topaz;torus;bit-reversal;16;2.610
topaz;torus;perfect-suffle;16;3.030
topaz;torus;permutation;16;2.610
topaz;torus;tornado;16;3,5
topaz;mesh;random;16;3.470
topaz;mesh;bit-reversal;16;2.600
topaz;mesh;perfect-suffle;16;3.060
topaz;mesh;permutation;16;2.530
topaz;mesh;tornado;16;3,49
topaz;mesh;random;9;2.59000
topaz;mesh;bit-reversal;9;1.16000
topaz;mesh;perfect-suffle;9;2.09000
topaz;mesh;permutation;9;2.16000
topaz;mesh;tornado;9;2,57
topaz;torus;random;9;2.61000
topaz;torus;bit-reversal;9;1.16000
topaz;torus;perfect-suffle;9;2.09000
topaz;torus;permutation;9;2.17000
topaz;torus;tornado;9;2,59
topaz;mesh;random;4;1.670
topaz;mesh;bit-reversal;4;0.740
topaz;mesh;perfect-suffle;4;0.740
topaz;mesh;permutation;4;0.740
topaz;mesh;tornado;4;0
topaz;torus;tornado;4;0.0
topaz;torus;permutation;4;0.870
topaz;torus;tornado;4;0.0
topaz;torus;random;4;1.660
topaz;torus;bit-reversal;4;0.870
topaz;torus;perfect-suffle;4;0.870
gpnocsim;torus;uniform;100;2.60973333333333370
gpnocsim;torus;local;100;2,59
gpnocsim;mesh;uniform;81;2.6114166666666670
gpnocsim;mesh;local;81;2,63
gpnocsim;torus;uniform;81;2.59468333333333320
gpnocsim;torus;local;81;2,61
gpnocsim;mesh;uniform;64;2.61811666666666640
gpnocsim;mesh;local;64;2,66
booksim;mesh;uniform;4;1.512668
booksim;mesh;bitcomp;4;1.403332
booksim;mesh;bitrev;4;1.518332
booksim;mesh;shuffle;4;1.518332
booksim;mesh;transpose;4;1.518332
booksim;mesh;tornado;4;1,63
booksim;mesh;neighbor;4;1.403332
booksim;torus;uniform;4;1.293332
booksim;torus;bitcomp;4;1.205
booksim;torus;bitrev;4;1.416332
booksim;torus;shuffle;4;1.416332
booksim;torus;transpose;4;1.416332
booksim;torus;tornado;4;1,63
booksim;torus;neighbor;4;1.205
booksim;mesh;uniform;16;5.113648
booksim;mesh;bitcomp;16;5.057648
booksim;mesh;bitrev;16;2.505152
booksim;mesh;shuffle;16;5.306336
booksim;mesh;transpose;16;2.0604
booksim;mesh;tornado;16;5,49
booksim;mesh;neighbor;16;5.493632
gpnocsim;torus;uniform;64;2.63740
gpnocsim;torus;local;64;2,63
gpnocsim;mesh;uniform;49;2.667650
gpnocsim;mesh;local;49;2,64
gpnocsim;torus;uniform;49;2.5710166666666670
gpnocsim;torus;local;49;2,64
gpnocsim;mesh;uniform;36;2.6681250
gpnocsim;mesh;local;36;2,6
gpnocsim;torus;uniform;36;2.5514583333333330
gpnocsim;torus;local;36;2,59
gpnocsim;mesh;uniform;25;2.6581083333333333
gpnocsim;mesh;local;25;2,62
gpnocsim;torus;uniform;25;2.65560
gpnocsim;torus;local;25;2,66
gpnocsim;mesh;uniform;16;2.5801583333333333
gpnocsim;mesh;local;16;2,6
gpnocsim;torus;uniform;16;2.5426916666666670
gpnocsim;torus;local;16;2,61
gpnocsim;torus;uniform;9;2.610875
gpnocsim;torus;local;9;2,64
gpnocsim;mesh;uniform;9;2.6229999999999998
gpnocsim;mesh;local;9;2,64
gpnocsim;mesh;uniform;4;2.5378083333333334
gpnocsim;mesh;local;4;2,62
gpnocsim;torus;uniform;4;2.58830000000000030
gpnocsim;torus;local;4;2,55
booksim;torus;uniform;16;4.15200
booksim;torus;bitcomp;16;4.38432
booksim;torus;bitrev;16;2.008976
booksim;torus;shuffle;16;4.25200
booksim;torus;transpose;16;1.772992
booksim;torus;tornado;16;4,38
booksim;torus;neighbor;16;4.38432
;;;;
booksim,mesh,uniform,8,2.807832
booksim,mesh,bitcomp,8,2.760168
booksim,mesh,bitrev,8,2.877832
booksim,mesh,shuffle,8,2.858832
booksim,mesh,transpose,8,2.882336
booksim,mesh,tornado,8,3.264
booksim,mesh,neighbor,8,2.760168
booksim,torus,uniform,8,2.356
booksim,torus,bitcomp,8,2.237168
booksim,torus,bitrev,8,2.492664
booksim,torus,shuffle,8,2.492504
booksim,torus,transpose,8,2.48
booksim,torus,tornado,8,3.264
booksim,torus,neighbor,8,2.237168
